OrderID|CustomerID|ProductID|StoreID|OrderType|Timestamp|Brand|ItemSize|ProductName|Collection|Price|ClearanceType|StoreName|Location
DRW7C20|QK848|36-682-186|#6802|InStore|2020-02-11 01:09:56|Gap|M|Adam Levine Choker|Accessories|11.95|FullRetail|Fashion Centre at Pentagon City|VA
7T8QZ38|DP336|60-444-763|#7104|InStore|2020-01-13 13:35:27|Gap|M|Human Rights (except for the children who make our clothing) Graphic Tee|Kids Tops|16.95|FullRetail|Norfolk Premium Outlets|VA
7T8QZ38|DP336|91-951-829|#7104|InStore|2020-01-13 13:35:27|Gap|M|Wrinkled Gray Sweatpants for Work-From-Home|Men's Bottoms|8.95|FullRetail|Norfolk Premium Outlets|VA
7T8QZ38|DP336|29-761-664|#7104|InStore|2020-01-13 13:35:27|Gap|M|Dishwasher-Safe Jean Shorts|Denim Shop|41.97|FinalSale|Norfolk Premium Outlets|VA
DR3SRRR|KP441|64-360-768|#8289|HomeDelivery|2020-02-01 21:02:14|Gap|S|Lightly Used Boxer Briefs|Accessories|9.95|FullRetail|Fair Oaks Mall|VA
DR3SRRR|KP441|65-100-438|#8289|HomeDelivery|2020-02-01 21:02:14|Gap|S|N-A-P Logo Branded Sweater|Kids Tops|55.97|FinalSale|Fair Oaks Mall|VA
DR3SRRR|KP441|05-574-428|#8289|HomeDelivery|2020-02-01 21:02:14|Gap|S|Hello, World! JavaScript Graphic Tee|Kids Tops|8.95|FullRetail|Fair Oaks Mall|VA
DR3SRRR|KP441|50-597-783|#8289|HomeDelivery|2020-02-01 21:02:14|Gap|S|Fourth of July Flag Tank, Pre-Mustard Stained|Men's Tops|20.95|FullRetail|Fair Oaks Mall|VA
DR3SRRR|KP441|09-875-876|#8289|HomeDelivery|2020-02-01 21:02:14|Gap|S|Comfortable Jeans, Exclusive to Size(s): XXXS|Denim Shop|54.95|FullRetail|Fair Oaks Mall|VA
DR3SRRR|KP441|43-780-794|#8289|HomeDelivery|2020-02-01 21:02:14|Gap|S|Blue Light Blocker Monocle|Accessories|19.95|FullRetail|Fair Oaks Mall|VA
4371891|BX487|93-552-710|#4479|InStore|2020-03-08 13:00:49|Banana Republic|M|Acid-Washed Low-Rise Jeans with LSD-tab-sized pockets|Women's Bottoms|109.95|FullRetail|Williamsburg Premium Outlets|VA
TD06SWS|CP331|08-230-912|#9033|HomeDelivery|2020-03-26 16:33:04|Banana Republic|M|Scratchy Woolen Socks|Accessories|7.99|Clearance|Dulles Town Center|VA
C09Z7F2|EI880|75-833-369|#9981|StorePickup|2020-02-06 08:39:58|Gap|XL|Checkered Cloth Mask with Drinking Straw Hole|Accessories|7.95|FullRetail|Tysons Corner Center|VA
C09Z7F2|EI880|22-487-163|#9981|StorePickup|2020-02-06 08:39:58|Gap|XL|Tobey Maguire Spiderman Graphic Tee|Kids Tops|4.99|Clearance|Tysons Corner Center|VA
TTDS351|XV369|29-761-664|#9367|InStore|2020-03-22 16:43:10|Gap|M|Dishwasher-Safe Jean Shorts|Denim Shop|41.95|FullRetail|Short Pump Town Center|VA
TTDS351|XV369|26-434-264|#9367|InStore|2020-03-22 16:43:10|Gap|M|Bootleg Boot Cut |Denim Shop|39.95|FullRetail|Short Pump Town Center|VA
40DQDZ2|FY572|22-487-163|#7104|HomeDelivery|2020-01-13 18:08:16|Gap|M|Tobey Maguire Spiderman Graphic Tee|Kids Tops|4.95|FullRetail|Norfolk Premium Outlets|VA
157CTWT|SF393|82-161-128|#7038|InStore|2020-01-24 19:58:40|Banana Republic|M|Mullet-Cut Midi Fur Skirt|Women's Bottoms|88.95|FullRetail|Norfolk Premium Outlets|VA
65T62ZZ|FX408|43-105-886|#9112|HomeDelivery|2020-03-16 12:52:15|Banana Republic|M|Vintage Surfboard Graphic Tee, Cotton|Men's Tops|9.99|Clearance|Tysons Corner Center|VA
65T62ZZ|FX408|37-327-246|#9112|HomeDelivery|2020-03-16 12:52:15|Banana Republic|M|Father's Day Dark Dress Socks|Accessories|3.95|FullRetail|Tysons Corner Center|VA
65T62ZZ|FX408|64-654-502|#9112|HomeDelivery|2020-03-16 12:52:15|Banana Republic|M|Plain White T's Designer Graphic Tees|Women's Tops|32.95|FullRetail|Tysons Corner Center|VA
S1ZC9WD|BP332|00-893-818|#6658|InStore|2020-01-23 22:20:24|Banana Republic|L|Beach Week Linen Button Down, Off-White|Men's Tops|64.95|FullRetail|Stony Point Fashion Park|VA
F93DS99|WN614|43-105-886|#6658|InStore|2020-01-29 21:27:33|Banana Republic|M|Vintage Surfboard Graphic Tee, Cotton|Men's Tops|9.95|FullRetail|Stony Point Fashion Park|VA
F93DS99|WN614|77-870-213|#6658|InStore|2020-01-29 21:27:33|Banana Republic|M|White Camisole with Regina George Cutouts|Women's Tops|53.95|FullRetail|Stony Point Fashion Park|VA
199QQ1K|PY118|00-893-818|#4479|InStore|2020-03-15 07:50:08|Banana Republic|M|Beach Week Linen Button Down, Off-White|Men's Tops|64.97|FinalSale|Williamsburg Premium Outlets|VA
199QQ1K|PY118|76-558-812|#4479|InStore|2020-03-15 07:50:08|Banana Republic|M|Yes-I-am-Experiencing-Menopause-Thank-You-for-Asking White Linen Chinos|Women's Bottoms|34.99|Clearance|Williamsburg Premium Outlets|VA
243FCZ6|FZ686|50-500-575|#9367|InStore|2020-02-14 13:01:48|Gap|M|Old inventory we couldn't sell StretchFit Leggings|Women's Bottoms|36.95|FullRetail|Short Pump Town Center|VA
243FCZ6|FZ686|05-574-428|#9367|InStore|2020-02-14 13:01:48|Gap|M|Hello, World! JavaScript Graphic Tee|Kids Tops|8.99|Clearance|Short Pump Town Center|VA
243FCZ6|FZ686|52-602-718|#9367|InStore|2020-02-14 13:01:48|Gap|M|My roommate looked good in this Denim Jacket|Denim Shop|30.95|FullRetail|Short Pump Town Center|VA
243FCZ6|FZ686|50-597-783|#9367|InStore|2020-02-14 13:01:48|Gap|M|Fourth of July Flag Tank, Pre-Mustard Stained|Men's Tops|20.95|FullRetail|Short Pump Town Center|VA
243FCZ6|FZ686|73-142-641|#9367|InStore|2020-02-14 13:01:48|Gap|M|Sunday Church on Zoom Children's Khakis|Kids Tops|48.95|FullRetail|Short Pump Town Center|VA
243FCZ6|FZ686|24-868-681|#9367|InStore|2020-02-14 13:01:48|Gap|M|The Conjuring Graphic Tee Collection|Kids Tops|9.99|Clearance|Short Pump Town Center|VA
243FCZ6|FZ686|29-761-664|#9367|InStore|2020-02-14 13:01:48|Gap|M|Dishwasher-Safe Jean Shorts|Denim Shop|41.99|Clearance|Short Pump Town Center|VA
243FCZ6|FZ686|10-561-512|#9367|InStore|2020-02-14 13:01:48|Gap|M|Environmentally Unconcious Jean Shorts|Denim Shop|33.97|FinalSale|Short Pump Town Center|VA
