Company,Active Brand (Y/N),Headquarters,Employees,Founded,Last Acquired,Lead Executive,Owner/Major Investor,Parent Company,Parent Stock Ticker,Parent Public Exposure,Primary Sector,Primary Sub-sector,Secondary Sector,Secondary Sub-sector,Immigration Detention Involvement,Supports Prison Labor,"Harm Score
(3-15)",Divestment (Y/N),Annual Revenues (Mn),Revenue Fiscal Year," Prison Industry Revenue Only
(Y/N)",Political Spending (Cumalative Since 2010),Notes,Website,Corrections,Immigration Detention,Prison Labor,Financials,Other 
1st Advanced EMS,Y,OH,78,2004,,,,,,Tier 4 - Small Privately-Owned,Healthcare,Ambulance Services,,,,,,,,,N,,,http://1stadvems.com/,OH DRC Spending,,,,https://procure.ohio.gov///conamendment/ot900712_PDF_021.pdf
1st Choice Restaurant Equipment & Supply,Y,TX,,1971,,,,,,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",,,,,,,,,N,,,https://www.1stchoiceres.com/,TDCJ Spending,,,,https://govtribe.com/vendors/1st-choice-restaurant-equipment-supply-llc-4v9g6
2 K General,Y,OH,40,1999,,,,,,Tier 4 - Small Privately-Owned,Construction & Maintenance,Construction,,,,,,,6,2018,N,,,http://www.2kgeneral.com/,http://www.2kgeneral.com/portfolio/,,,PrivCo (www.privco.com),http://www.2kgeneral.com/portfolio-items/scioto-juvenile-correctional-facility/
316 VanGo,Y,NY,,,,,,,,Tier 4 - Small Privately-Owned,Transportation,Visitor Transportation,,,,,,,,,Y,,,http://www.316transportationservice.com/,See website,,,,
360 IT Integrated Solutions,Y,VA,,,,,,,,Tier 4 - Small Privately-Owned,Data & Information Systems,IT & Communcations Infrastructure & Service,,,Y,,,,,,N,,,http://360itis.com/Solutions/default.html,,Sludge - ICE Contract (https://readsludge.com/2018/07/06/who-is-making-money-from-ice-in-your-state/),,,
3DA Display,Y,MI,,2008,,,,,,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",Programs & Labor,Vocation/Industries (Prison Labor),,Y,,,,,N,,,https://www.3dadisplay.com/,https://www.nationalcia.org/corporate-members,,See corrections source,,
3M,Y,MN,93516,1902,,Mike Roman,,,MMM,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Programs & Labor,Vocation/Industries (Prison Labor),Equipment,"Furnishings, Supplies, & Other Facility Equipment",,Y,13,Y,32136,2019,N,,Sold off its electronic monitoring businessfor $200 M and identity management business for $850 M in 2017; Sold off Ballistic Protection Business for $91.0MM to Avon Rubber PLC Jan 2020,https://www.3m.com/3M/en_US/company-us/,https://www.nationalcia.org/corporate-members,,https://www.nationalcia.org/corporate-members,FactSet,http://news.3m.com/press-release/company-english/3m-sell-its-electronic-monitoring-business-transportation-safety-divis
3S Sports & Tactical Gear,Y,VA,,,,,,,,Tier 4 - Small Privately-Owned,Equipment,Security Equipment,,,,,,,,,N,,,http://www.3stactical.com/,See website,,,,
3Wire Group,Y,MN,205,2001,2008,,,Berkshire Hathaway,BRK.A,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Food & Commissary,Kitchen Equipment,Equipment,"Furnishings, Supplies, & Other Facility Equipment",,,7,,,,N,,Acquired by Berkshire Hathaway in 2007 as part of Marmon for $4.5 B; Parts Town acquired foodservice parts distribution and field service businss assets of 3Wire Group May 2018,https://www.3wire.com/,TDCJ Spending,,,,https://dealbook.nytimes.com/2007/12/25/buffett-to-buy-marmon-from-pritzker-family/
4 Star Hose & Supply,Y,TX,70,1983,2019,Sam Petillo,AEA Investors,SBP Holdings/Singer Equities,,Tier 2 - Investment Firm-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",Programs & Labor,Vocation/Industries (Prison Labor),,Y,7,,,,N,,Acquired by Singer Equities in 2019,http://www.4starhose.com/,TDCJ Spending,,See corrections source,,https://www.inddist.com/mergers-acquisitions/news/13777809/singer-equities-acquires-4star-hose-supply
4Bike-Police,Y,AR,,,,,,,,Tier 4 - Small Privately-Owned,Equipment,Security Equipment,,,,,,,,,Y,,,http://www.4bike-police.com/,See website,,,,
5.11 (Tactical),Y,CA,550,2003,2016,,,"Compass Group, The",CODI,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Equipment,Security Equipment,,,,,14,Y,310,2018,N,,Acquired by Compass Group in 2016,http://www.511tactical.com,http://www.511tactical.com/public-safety/law-enforcement.html,,,PrivCo (www.privco.com),https://www.compassequity.com/companies/5-11-tactical/
555 International,Y,IL,150,1987,,,,,,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",,,,,,,39,2018,N,,,http://www.555.com/,See New Star Lighting,,,PrivCo (www.privco.com),https://newstarlighting.com/applications/correctional/
