OrderID|ProductID|StoreID|OrderType|Timestamp|Brand|ItemSize|ProductName|Collection|Price|ClearanceType|StoreName|Location
5FD7Z13622|54-550-192|#8586|HomeDelivery|2020-01-30 19:14:21|Banana Republic|XS|Beautiful Mind Tweed Jacket with Shoulder Pads|Men's Tops|112.99|Clearance|MacArthur Center|VA
5FD7Z13622|55-274-850|#8586|HomeDelivery|2020-01-30 19:14:21|Banana Republic|XS|Iota Delta Kappa Olive Chinos|Men's Bottoms|44.99|Clearance|MacArthur Center|VA
8ZK18KRRWQ|85-968-340|#2929|InStore|2020-02-06 19:19:55|Gap|XS|Super Skinny Fit with GapFlex Max Jeans|Denim Shop|35.97|FinalSale|Fashion Centre at Pentagon City|VA
048K34RW62|50-164-380|#8806|InStore|2020-03-25 04:09:18|Banana Republic|L|Tan Suit Jacket for Casual Press Conference|Men's Tops|88.95|FullRetail|Fashion Centre at Pentagon City|VA
TWW6D08ZT0|12-543-674|#4174|InStore|2020-03-13 01:53:37|Banana Republic|XL|Tan Slacks for Serious Press Conference|Men's Bottoms|120.95|FullRetail|Reston Town Center|VA
9DR40KRF4T|05-145-814|#5983|InStore|2020-02-04 19:03:42|Gap|L|Blue Light Blocker Monocle|Accessories|5.99|Clearance|Stony Point Fashion Park|VA
9S44DT1F74|79-561-851|#8790|StorePickup|2020-01-15 21:33:05|Banana Republic|XL|Mr. Peanut-Style Top Hat (#RIP)|Accessories|4.95|FullRetail|Williamsburg Premium Outlets|VA
9S44DT1F74|39-464-697|#8790|StorePickup|2020-01-15 21:33:05|Banana Republic|XL|Father's Day Dark Dress Socks|Accessories|3.99|Clearance|Williamsburg Premium Outlets|VA
D3Q173F9Z7|44-617-559|#8806|HomeDelivery|2020-03-08 16:40:54|Banana Republic|XS|Let's-Wear-White-After-Labor-Day 3/4 Sleeve Blazer|Women's Tops|119.97|FinalSale|Fashion Centre at Pentagon City|VA
QDRCWT0FTZ|79-561-851|#5839|InStore|2020-03-20 23:52:47|Banana Republic|L|Mr. Peanut-Style Top Hat (#RIP)|Accessories|4.99|Clearance|Stony Point Fashion Park|VA
FKQK6DS4KW|25-641-963|#5796|StorePickup|2020-02-16 22:24:34|Gap|M|Human Rights (except for the children who make our clothing) Graphic Tee|Kids Tops|9.95|FullRetail|Norfolk Premium Outlets|VA
FKQK6DS4KW|05-145-814|#5796|StorePickup|2020-02-16 22:24:34|Gap|M|Blue Light Blocker Monocle|Accessories|5.95|FullRetail|Norfolk Premium Outlets|VA
FKQK6DS4KW|68-962-562|#5796|StorePickup|2020-02-16 22:24:34|Gap|M|Dishwasher-Safe Jean Shorts|Denim Shop|48.95|FullRetail|Norfolk Premium Outlets|VA
FKQK6DS4KW|00-506-740|#5796|StorePickup|2020-02-16 22:24:34|Gap|M|Tobey Maguire Spiderman Graphic Tee|Kids Tops|4.97|FinalSale|Norfolk Premium Outlets|VA
17FK13ZFCZ|56-680-355|#8258|StorePickup|2020-02-23 03:32:17|Banana Republic|S|Beach Week Linen Button Down, Off-White|Men's Tops|39.95|FullRetail|Barracks Road Shopping Center|VA
FD9ZFCW37K|79-561-851|#9789|HomeDelivery|2020-03-26 08:47:19|Banana Republic|S|Mr. Peanut-Style Top Hat (#RIP)|Accessories|4.95|FullRetail|Norfolk Premium Outlets|VA
W8ZR287S3T|68-962-562|#2929|InStore|2020-03-16 13:59:09|Gap|M|Dishwasher-Safe Jean Shorts|Denim Shop|48.95|FullRetail|Fashion Centre at Pentagon City|VA
W8ZR287S3T|33-250-116|#2929|InStore|2020-03-16 13:59:09|Gap|M|Checkered Cloth Mask with Drinking Straw Hole|Accessories|6.95|FullRetail|Fashion Centre at Pentagon City|VA
W8ZR287S3T|99-791-205|#2929|InStore|2020-03-16 13:59:09|Gap|M|The Conjuring Graphic Tee Collection|Kids Tops|14.99|Clearance|Fashion Centre at Pentagon City|VA
W8ZR287S3T|44-819-950|#2929|InStore|2020-03-16 13:59:09|Gap|M|Fourth of July Flag Tank, Pre-Mustard Stained|Men's Tops|10.99|Clearance|Fashion Centre at Pentagon City|VA
4420K4WSQ8|39-135-100|#7247|InStore|2020-03-12 18:43:22|Gap|L|Lightly Used Boxer Briefs|Accessories|6.95|FullRetail|Leesburg Premium Outlets|VA
4420K4WSQ8|17-388-616|#7247|InStore|2020-03-12 18:43:22|Gap|L|N-A-P Logo Branded Sweater|Kids Tops|37.95|FullRetail|Leesburg Premium Outlets|VA
D64RZ719D3|41-799-931|#4751|InStore|2020-03-29 10:08:49|Banana Republic|M|(Marginal) Utility Belt|Accessories|14.99|Clearance|Short Pump Town Center|VA
WS96W5SZ8W|54-550-192|#8806|HomeDelivery|2020-03-12 07:54:29|Banana Republic|L|Beautiful Mind Tweed Jacket with Shoulder Pads|Men's Tops|112.99|Clearance|Fashion Centre at Pentagon City|VA
TTQSQ8S4CZ|27-254-250|#8258|HomeDelivery|2020-03-29 23:18:45|Banana Republic|S|Sun.png Summer Collection Sundress|Women's Tops|45.95|FullRetail|Barracks Road Shopping Center|VA
7KF22FTZTW|60-417-664|#5796|InStore|2020-02-19 05:50:39|Gap|M|That-Hoodie-You'll-Wear-to-Every-Class Sweater|Men's Tops|44.95|FullRetail|Norfolk Premium Outlets|VA
C366T90W3T|56-680-355|#1169|HomeDelivery|2020-01-04 13:52:04|Banana Republic|M|Beach Week Linen Button Down, Off-White|Men's Tops|39.99|Clearance|Fair Oaks Mall|VA
7T6WT2W03W|54-550-192|#9789|InStore|2020-01-27 14:15:51|Banana Republic|XS|Beautiful Mind Tweed Jacket with Shoulder Pads|Men's Tops|112.95|FullRetail|Norfolk Premium Outlets|VA
7T6WT2W03W|99-475-149|#9789|InStore|2020-01-27 14:15:51|Banana Republic|XS|Yes, I am Experiencing Menopause Thank You for Asking White Linen Chinos|Women's Bottoms|56.95|FullRetail|Norfolk Premium Outlets|VA
F29R750FR6|33-250-116|#7247|InStore|2020-02-22 17:49:23|Gap|XS|Checkered Cloth Mask with Drinking Straw Hole|Accessories|6.99|Clearance|Leesburg Premium Outlets|VA
F29R750FR6|44-819-950|#7247|InStore|2020-02-22 17:49:23|Gap|XS|Fourth of July Flag Tank, Pre-Mustard Stained|Men's Tops|10.95|FullRetail|Leesburg Premium Outlets|VA
65CTRZFK0Q|43-735-707|#5192|InStore|2020-03-11 19:11:26|Gap|L|My roommate looked good in this Denim Jacket|Denim Shop|40.99|Clearance|Williamsburg Premium Outlets|VA
65CTRZFK0Q|44-819-950|#5192|InStore|2020-03-11 19:11:26|Gap|L|Fourth of July Flag Tank, Pre-Mustard Stained|Men's Tops|10.99|Clearance|Williamsburg Premium Outlets|VA
CDD00ZZ727|15-679-264|#7189|InStore|2020-02-01 13:26:30|Banana Republic|M|White Camisole with Regina George Cutouts|Women's Tops|50.95|FullRetail|Dulles Town Center|VA
T3CD148CFS|50-164-380|#7513|InStore|2020-01-04 10:21:41|Banana Republic|M|Tan Suit Jacket for Casual Press Conference|Men's Tops|88.99|Clearance|Leesburg Premium Outlets|VA
T3CD148CFS|39-464-697|#7513|InStore|2020-01-04 10:21:41|Banana Republic|M|Father's Day Dark Dress Socks|Accessories|3.95|FullRetail|Leesburg Premium Outlets|VA
SK1ZZQ1Z76|37-353-535|#5839|HomeDelivery|2020-02-05 05:37:07|Banana Republic|M|Plain White T's Designer Graphic Tees|Women's Tops|44.95|FullRetail|Stony Point Fashion Park|VA
SK1ZZQ1Z76|44-617-559|#5839|HomeDelivery|2020-02-05 05:37:07|Banana Republic|M|Let's-Wear-White-After-Labor-Day 3/4 Sleeve Blazer|Women's Tops|119.99|Clearance|Stony Point Fashion Park|VA
869TS4347Z|12-543-674|#5051|StorePickup|2020-01-01 13:34:04|Banana Republic|XS|Tan Slacks for Serious Press Conference|Men's Bottoms|120.99|Clearance|Potomac Mills|VA
9S3D0WCQ2S|54-550-192|#5051|StorePickup|2020-03-02 15:43:56|Banana Republic|S|Beautiful Mind Tweed Jacket with Shoulder Pads|Men's Tops|112.99|Clearance|Potomac Mills|VA
9S3D0WCQ2S|55-274-850|#5051|StorePickup|2020-03-02 15:43:56|Banana Republic|S|Iota Delta Kappa Olive Chinos|Men's Bottoms|44.99|Clearance|Potomac Mills|VA
FFWQ8ZZRZZ|39-464-697|#7513|InStore|2020-03-23 01:46:33|Banana Republic|XL|Father's Day Dark Dress Socks|Accessories|3.95|FullRetail|Leesburg Premium Outlets|VA
FFWQ8ZZRZZ|27-755-390|#7513|InStore|2020-03-23 01:46:33|Banana Republic|XL|Mullet-Cut Midi Fur Skirt|Women's Bottoms|96.99|Clearance|Leesburg Premium Outlets|VA
FFWQ8ZZRZZ|84-978-915|#7513|InStore|2020-03-23 01:46:33|Banana Republic|XL|Vintage Surfboard Graphic Tee, Cotton|Men's Tops|4.97|FinalSale|Leesburg Premium Outlets|VA
FFWQ8ZZRZZ|37-353-535|#7513|InStore|2020-03-23 01:46:33|Banana Republic|XL|Plain White T's Designer Graphic Tees|Women's Tops|44.99|Clearance|Leesburg Premium Outlets|VA
