OrderID|CustomerID|ProductID|StoreID|OrderType|Timestamp|Brand|ItemSize|ProductName|Collection|Price|ClearanceType
DRW7C20|QK848|36-682-186|#6802|InStore|2020-02-11 01:09:56|Gap|M|Adam Levine Choker|Accessories|11.95|FullRetail
7T8QZ38|DP336|60-444-763|#7104|InStore|2020-01-13 13:35:27|Gap|M|Human Rights (except for the children who make our clothing) Graphic Tee|Kids Tops|16.95|FullRetail
7T8QZ38|DP336|91-951-829|#7104|InStore|2020-01-13 13:35:27|Gap|M|Wrinkled Gray Sweatpants for Work-From-Home|Men's Bottoms|8.95|FullRetail
7T8QZ38|DP336|29-761-664|#7104|InStore|2020-01-13 13:35:27|Gap|M|Dishwasher-Safe Jean Shorts|Denim Shop|41.97|FinalSale
DR3SRRR|KP441|64-360-768|#8289|HomeDelivery|2020-02-01 21:02:14|Gap|S|Lightly Used Boxer Briefs|Accessories|9.95|FullRetail
DR3SRRR|KP441|65-100-438|#8289|HomeDelivery|2020-02-01 21:02:14|Gap|S|N-A-P Logo Branded Sweater|Kids Tops|55.97|FinalSale
DR3SRRR|KP441|05-574-428|#8289|HomeDelivery|2020-02-01 21:02:14|Gap|S|Hello, World! JavaScript Graphic Tee|Kids Tops|8.95|FullRetail
DR3SRRR|KP441|50-597-783|#8289|HomeDelivery|2020-02-01 21:02:14|Gap|S|Fourth of July Flag Tank, Pre-Mustard Stained|Men's Tops|20.95|FullRetail
DR3SRRR|KP441|09-875-876|#8289|HomeDelivery|2020-02-01 21:02:14|Gap|S|Comfortable Jeans, Exclusive to Size(s): XXXS|Denim Shop|54.95|FullRetail
DR3SRRR|KP441|43-780-794|#8289|HomeDelivery|2020-02-01 21:02:14|Gap|S|Blue Light Blocker Monocle|Accessories|19.95|FullRetail
4371891|BX487|93-552-710|#4479|InStore|2020-03-08 13:00:49|Banana Republic|M|Acid-Washed Low-Rise Jeans with LSD-tab-sized pockets|Women's Bottoms|109.95|FullRetail
TD06SWS|CP331|08-230-912|#9033|HomeDelivery|2020-03-26 16:33:04|Banana Republic|M|Scratchy Woolen Socks|Accessories|7.99|Clearance
C09Z7F2|EI880|75-833-369|#9981|StorePickup|2020-02-06 08:39:58|Gap|XL|Checkered Cloth Mask with Drinking Straw Hole|Accessories|7.95|FullRetail
C09Z7F2|EI880|22-487-163|#9981|StorePickup|2020-02-06 08:39:58|Gap|XL|Tobey Maguire Spiderman Graphic Tee|Kids Tops|4.99|Clearance
TTDS351|XV369|29-761-664|#9367|InStore|2020-03-22 16:43:10|Gap|M|Dishwasher-Safe Jean Shorts|Denim Shop|41.95|FullRetail
TTDS351|XV369|26-434-264|#9367|InStore|2020-03-22 16:43:10|Gap|M|Bootleg Boot Cut |Denim Shop|39.95|FullRetail
40DQDZ2|FY572|22-487-163|#7104|HomeDelivery|2020-01-13 18:08:16|Gap|M|Tobey Maguire Spiderman Graphic Tee|Kids Tops|4.95|FullRetail
157CTWT|SF393|82-161-128|#7038|InStore|2020-01-24 19:58:40|Banana Republic|M|Mullet-Cut Midi Fur Skirt|Women's Bottoms|88.95|FullRetail
65T62ZZ|FX408|43-105-886|#9112|HomeDelivery|2020-03-16 12:52:15|Banana Republic|M|Vintage Surfboard Graphic Tee, Cotton|Men's Tops|9.99|Clearance
