name,host_id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
Casa Madrona - Urban Oasis 1 block from the park!,2536,Central Area,Madrona,47.610820000000004,-122.29082,Entire home/apt,296,7,32,0.23,2,90
"Fab, private seattle urban cottage!",14942,Other neighborhoods,Wallingford,47.654109999999996,-122.33761000000001,Entire home/apt,90,30,150,1.14,3,82
Glorious sun room w/ memory foambed,30559,Other neighborhoods,Georgetown,47.55017,-122.31936999999999,Private room,62,2,148,1.25,8,364
The Adorable Sweet Orange Craftsman,31481,West Seattle,Fairmount Park,47.55539,-122.38474,Entire home/apt,165,3,40,0.4,2,365
The Coolest Tangerine Dream MIL!,31481,West Seattle,Fairmount Park,47.55624,-122.38598,Entire home/apt,125,2,49,0.49,2,350
"the down home , spacious, central and fab!",14942,Other neighborhoods,Wallingford,47.654790000000006,-122.33652,Entire home/apt,120,30,93,0.86,3,89
Luna Lower - West Seattle,33360,West Seattle,Fairmount Park,47.56612,-122.37273,Entire home/apt,125,30,74,0.58,8,349
"the orange house, quiet 'n central",14942,Other neighborhoods,Wallingford,47.65448,-122.33646,Entire home/apt,299,30,92,0.74,3,179
Quiet Cozy Upstairs BR Green Lake,39377,Other neighborhoods,Green Lake,47.68725,-122.3347,Private room,40,30,150,1.27,3,161
Green Lake Private Ground Floor BR,39377,Other neighborhoods,Green Lake,47.68827,-122.33586000000001,Private room,60,30,71,0.66,3,173
Green Lake guest room with active family,61636,Other neighborhoods,Green Lake,47.68407,-122.32648999999999,Private room,40,21,22,0.21,2,179
"West Seattle, The Starlight Studio",33360,West Seattle,Fairmount Park,47.554840000000006,-122.38512,Entire home/apt,105,2,127,1.06,8,329
"Amazing Puget Sound Views, Ask For HCP Rates",74305,Downtown,Belltown,47.614470000000004,-122.34815,Entire home/apt,74,2,108,0.92,51,108
Cottage in the Heart of Ballard,79450,Ballard,Adams,47.67334,-122.39511999999999,Entire home/apt,89,2,596,4.99,2,128
Victorian in the Heart of Ballard,79450,Ballard,Adams,47.67361,-122.3938,Entire home/apt,79,2,339,5.7,2,140
Stylish Oasis in a Prime Location in Belltown,74305,Downtown,Belltown,47.614470000000004,-122.34815,Entire home/apt,94,1,97,0.84,51,166
"Beautiful, Private Spot in Quiet Ballard",102684,Ballard,Whittier Heights,47.67941,-122.37053999999999,Entire home/apt,70,2,799,6.56,1,167
2-bedroom Capitol Hill Pied-à-terre,110248,Capitol Hill,Broadway,47.61743,-122.32676000000001,Entire home/apt,259,30,143,1.22,1,0
Cozy Ballard Apartment,107605,Ballard,Loyal Heights,47.6789,-122.38186,Entire home/apt,64,3,121,1.01,1,332
Your Home Away From Home.  Private Parking onsite.,160789,Ballard,Loyal Heights,47.68805,-122.39231000000001,Entire home/apt,99,2,3,0.07,2,362
Home Away From Home - MIL Suite    ,180441,Beacon Hill,Mid-Beacon Hill,47.56035,-122.31402,Entire home/apt,95,30,28,0.24,1,143
Big sunny central house with view!,189356,Other neighborhoods,Wallingford,47.65055,-122.33058999999999,Private room,55,30,272,2.3,1,364
green suite seattle - dog friendly,212404,Other neighborhoods,Windermere,47.67159,-122.25995,Entire home/apt,80,5,45,0.39,2,203
Seattle- Ballard Guestsuite -,311363,Ballard,West Woodland,47.67171,-122.36589,Entire home/apt,76,3,250,2.28,1,330
"Light and airy, steps to the Lake.",331573,Seward Park,Seward Park,47.561679999999996,-122.27212,Private room,70,2,190,1.71,1,364
180º View Private One-Bedroom W/Open Junior Suite,340192,Capitol Hill,Broadway,47.63813,-122.32148000000001,Entire home/apt,149,90,0,,3,252
Central quiet Capitol Hill condo,412854,Capitol Hill,Broadway,47.62585,-122.32003999999999,Entire home/apt,110,30,15,0.14,1,0
Upper Floor 2br Suite in Capitol Hill Home,460561,Capitol Hill,Stevens,47.624340000000004,-122.3037,Entire home/apt,95,1,15,1.54,1,1
West Seattle: Admiral calm & quiet,192355,West Seattle,North Admiral,47.582390000000004,-122.39448,Private room,75,2,72,0.66,1,364
West Seattle/Alki Beach House,331494,West Seattle,North Admiral,47.58,-122.40203999999999,Entire home/apt,92,2,172,1.58,1,200
"Modern, Light-Filled Fremont Flat",587302,Other neighborhoods,Fremont,47.65437,-122.35745,Entire home/apt,75,30,52,0.48,1,247
Suite+Office in Gorgeous View Home,559827,West Seattle,Alki,47.568740000000005,-122.40648999999999,Private room,150,2,141,1.33,2,362
Teeny Tiny Guestyhouse!,601600,Other neighborhoods,Fremont,47.65231,-122.35,Entire home/apt,79,3,395,3.66,2,328
Mother-in-Law Apartment in Seattle,378445,Other neighborhoods,Wallingford,47.66923,-122.33516999999999,Entire home/apt,110,2,125,1.16,1,317
Green Lake Guest Suite with Dry Sauna,558743,Other neighborhoods,Green Lake,47.68226,-122.34345,Entire home/apt,150,3,283,2.67,2,145
Bright Cheery Room in Seattle House,539515,Seward Park,Seward Park,47.55508,-122.26455,Private room,85,2,80,0.99,2,364
Metrobilly Retreat,683617,Central Area,Harrison/Denny-Blaine,47.61894,-122.29212,Private room,75,1,154,1.43,1,314
N. Beacon Hill- Super Private Room,594315,Beacon Hill,North Beacon Hill,47.58379,-122.31676999999999,Private room,89,2,386,3.59,1,361
"Private 1BR, Parking, Eco-Cleaned, 5% to Charity",696788,Central Area,Mann,47.61231,-122.29825,Entire home/apt,80,3,393,3.66,1,353
Beautiful Water View Condo near UW + Eastlake!,306615,Capitol Hill,Portage Bay,47.65062,-122.32008,Entire home/apt,199,5,48,0.45,3,55
Stroll to Stunning Views from a Historic Home,804996,Queen Anne,Lower Queen Anne,47.62767,-122.35861000000001,Entire home/apt,750,3,260,2.44,1,349
"Classy,Private, Comfy! W Seattle-A Place To Relax!",933468,West Seattle,North Admiral,47.582159999999995,-122.39386999999999,Private room,59,1,112,2.24,2,1
Seattle Phinney Ridge Ballard,601266,Other neighborhoods,Phinney Ridge,47.6777,-122.35983999999999,Entire home/apt,175,30,25,0.36,1,365
Cozy Seattle Apartment Near UW & Children's,990195,Other neighborhoods,View Ridge,47.680040000000005,-122.28398,Entire home/apt,99,30,143,1.36,1,0
"""THE 5-STAR HOUSE""  # 9",2438665,Other neighborhoods,Crown Hill,47.70085,-122.367,Private room,95,3,73,1.02,4,327
Relaxing Garden Cottage w/ Hot Tub!,971336,Rainier Valley,Columbia City,47.5613,-122.28121999999999,Entire home/apt,80,3,382,3.71,1,82
LOCATION! MONTHLY Discounts  SPACIOUS 2Bd/2Ba,8243075,Downtown,Belltown,47.61534,-122.34791000000001,Entire home/apt,200,2,182,1.76,4,0
"Private, Large Room+Bath in Ballard",468703,Ballard,Loyal Heights,47.68231,-122.37875,Private room,90,1,132,1.38,2,180
"Fun home in Funky Fremont, Seattle",1037115,Other neighborhoods,Fremont,47.65589,-122.36055,Entire home/apt,285,3,87,0.9,3,120
