zipcode,city,state,metro,countyname,sizerank,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01
98052,Redmond,WA,Seattle-Tacoma-Bellevue,King County,65,1556.0,1557.0,1557.0,1556.0,1545.0,1538.0,1529.0,1516.0,1517.0,1517.0,1525.0,1539.0,1552.0,1565.0,1569.0,1573.0,1585.0,1586.0,1591.0,1592.0,1600.0,1611.0,1633.0,1653.0,1667.0,1679.0,1690.0,1690.0,1679.0,1682.0,1694.0,1701.0,1727.0,1747.0,1769.0,1785.0,1804.0,1820.0,1829.0,1833.0,1832.0,1832.0,1835.0,1846.0,1859.0,1885.0,1916.0,1942.0,1967.0,1978.0,1974.0,1961.0,1954.0,1950.0,1954.0,1968.0,1993.0,2028.0,2067.0,2089.0,2114.0,2133.0,2137.0,2137.0,2130.0,2136.0,2146.0,2160.0,2199.0,2241.0,2276.0,2285.0,2287.0,2276.0,2253.0,2242.0,2235.0,2237.0,2233.0,2245.0,2258.0,2266.0,2273.0,2281.0,2274.0,2255.0,2237.0,2228.0,2217.0,2210.0,2209.0,2214.0,2225.0,2240.0,2252.0,2264.0,2270.0,2274.0,2266.0,2268.0,2270.0,2271.0,2278.0,2291.0,2309.0,2333.0,2355.0,2374.0,2382.0,2362.0,2352.0,2358.0,2389.0
98012,Bothell,WA,Seattle-Tacoma-Bellevue,Snohomish County,154,1561.0,1575.0,1572.0,1567.0,1552.0,1533.0,1514.0,1505.0,1507.0,1512.0,1524.0,1533.0,1539.0,1542.0,1537.0,1537.0,1541.0,1546.0,1548.0,1550.0,1555.0,1565.0,1581.0,1595.0,1597.0,1595.0,1588.0,1591.0,1602.0,1608.0,1612.0,1617.0,1623.0,1636.0,1656.0,1684.0,1707.0,1727.0,1739.0,1750.0,1756.0,1759.0,1755.0,1754.0,1756.0,1760.0,1779.0,1803.0,1811.0,1817.0,1814.0,1812.0,1819.0,1830.0,1846.0,1897.0,,2014.0,2052.0,2080.0,2114.0,2142.0,2126.0,2117.0,2113.0,2106.0,2090.0,2094.0,2119.0,2150.0,2176.0,2191.0,2203.0,2210.0,2204.0,2189.0,2173.0,2164.0,2163.0,2174.0,2190.0,2210.0,2222.0,2231.0,2227.0,2213.0,2197.0,2176.0,2163.0,2154.0,2154.0,2172.0,2194.0,2217.0,2234.0,2242.0,2241.0,2238.0,2225.0,2214.0,2193.0,2183.0,2184.0,2187.0,2196.0,2207.0,2220.0,2228.0,2231.0,2235.0,2221.0,2201.0,2207.0
98103,Seattle,WA,Seattle-Tacoma-Bellevue,King County,189,1379.0,1392.0,1417.0,1438.0,1442.0,1435.0,1428.0,1422.0,1415.0,1414.0,1422.0,1433.0,1445.0,1456.0,1462.0,1460.0,1460.0,1461.0,1461.0,1468.0,1481.0,1498.0,1515.0,1526.0,1531.0,1540.0,1542.0,1542.0,1544.0,1553.0,1563.0,1569.0,1579.0,1596.0,1611.0,1631.0,1654.0,1680.0,1698.0,1709.0,1724.0,1732.0,1744.0,1756.0,1780.0,1797.0,1817.0,1837.0,1855.0,1859.0,1870.0,1867.0,1866.0,1862.0,1862.0,1865.0,1872.0,1892.0,1919.0,1939.0,1974.0,2005.0,2015.0,2019.0,2010.0,2004.0,2005.0,2003.0,2031.0,2067.0,2095.0,2112.0,2129.0,2125.0,2122.0,2110.0,2092.0,2083.0,2079.0,2094.0,2120.0,2134.0,2156.0,2176.0,2178.0,2162.0,2142.0,2114.0,2091.0,2078.0,2074.0,2069.0,2079.0,2103.0,2110.0,2125.0,2131.0,2125.0,2108.0,2097.0,2090.0,2085.0,2084.0,2084.0,2089.0,2104.0,2122.0,2145.0,2159.0,2137.0,2102.0,2107.0,2121.0
98682,Vancouver,WA,Portland-Vancouver-Hillsboro,Clark County,294,983.0,983.0,987.0,992.0,,1048.0,1059.0,1066.0,1070.0,1076.0,1085.0,1093.0,1101.0,1109.0,1114.0,1124.0,1129.0,1125.0,1123.0,1132.0,1146.0,1154.0,1159.0,1156.0,1146.0,1138.0,1135.0,1133.0,1126.0,1135.0,1144.0,1150.0,1152.0,1163.0,1190.0,,1262.0,1283.0,1289.0,1288.0,1285.0,1283.0,1279.0,1265.0,1261.0,1267.0,1282.0,1303.0,1327.0,1346.0,1362.0,1371.0,1384.0,1381.0,1372.0,1370.0,1376.0,1366.0,1364.0,1373.0,1389.0,1406.0,1410.0,1421.0,1432.0,1440.0,1449.0,1460.0,1484.0,1502.0,1518.0,1529.0,1531.0,1534.0,1532.0,1529.0,1534.0,1533.0,1528.0,1525.0,1526.0,1536.0,1549.0,1559.0,1556.0,1551.0,1546.0,1546.0,1549.0,1549.0,1547.0,1552.0,1560.0,1569.0,1580.0,1591.0,1599.0,1601.0,1599.0,1591.0,1570.0,1561.0,1552.0,1547.0,1550.0,1554.0,1558.0,1574.0,1589.0,1609.0,1609.0,1597.0,1587.0
98115,Seattle,WA,Seattle-Tacoma-Bellevue,King County,323,1390.0,1414.0,1440.0,1458.0,1455.0,1447.0,1437.0,1431.0,1425.0,1423.0,1430.0,1442.0,1451.0,1460.0,1465.0,1467.0,1464.0,1464.0,1464.0,1470.0,1482.0,1505.0,1528.0,1546.0,1558.0,1573.0,1582.0,1586.0,1581.0,1584.0,1590.0,1592.0,1605.0,1616.0,1633.0,1656.0,1674.0,1691.0,1706.0,1717.0,1734.0,1742.0,1748.0,1757.0,1774.0,1786.0,1802.0,1824.0,1847.0,1863.0,1874.0,1875.0,1874.0,1867.0,1861.0,1870.0,1886.0,1912.0,1937.0,1960.0,1988.0,2011.0,2014.0,2016.0,2009.0,2010.0,2011.0,2019.0,2051.0,2088.0,2109.0,2128.0,2146.0,2138.0,2134.0,2123.0,2094.0,2079.0,2069.0,2068.0,2080.0,2098.0,2112.0,2131.0,2123.0,2109.0,2082.0,2058.0,2042.0,2036.0,2040.0,2038.0,2046.0,2073.0,2090.0,2107.0,2111.0,2106.0,2081.0,2064.0,2055.0,2045.0,2041.0,2036.0,2038.0,2054.0,2075.0,2092.0,2099.0,2052.0,2044.0,2061.0,2070.0
98122,Seattle,WA,Seattle-Tacoma-Bellevue,King County,354,1506.0,1520.0,1530.0,1535.0,1532.0,1522.0,1511.0,1506.0,1509.0,1514.0,1531.0,1543.0,1548.0,1554.0,1561.0,1566.0,1573.0,1579.0,1581.0,1585.0,1592.0,1600.0,1617.0,1630.0,1642.0,1658.0,1670.0,1672.0,1673.0,1665.0,1666.0,1666.0,1675.0,1694.0,1709.0,1735.0,1759.0,1789.0,1810.0,1832.0,1844.0,1850.0,1852.0,1853.0,1874.0,1887.0,1919.0,1960.0,2002.0,2026.0,2037.0,2036.0,2027.0,2015.0,2005.0,2005.0,2019.0,2044.0,2080.0,2093.0,2116.0,2135.0,2147.0,2148.0,2137.0,2128.0,2113.0,2106.0,2132.0,2161.0,2187.0,2201.0,2213.0,2212.0,2219.0,2222.0,2212.0,2200.0,2197.0,2195.0,2198.0,2207.0,2226.0,2246.0,2240.0,2232.0,2212.0,2194.0,2170.0,2150.0,2138.0,2133.0,2138.0,2165.0,2181.0,2195.0,2201.0,2197.0,2191.0,2191.0,2180.0,2174.0,2171.0,2172.0,2182.0,2194.0,2209.0,2225.0,2234.0,2235.0,2215.0,2208.0,2184.0
98133,Shoreline,WA,Seattle-Tacoma-Bellevue,King County,386,1236.0,,,,1371.0,1365.0,1357.0,1344.0,1328.0,1323.0,1328.0,1336.0,1349.0,1363.0,1372.0,1374.0,1372.0,1370.0,1371.0,1375.0,1384.0,1398.0,1417.0,1428.0,1433.0,1434.0,1440.0,1447.0,1448.0,1460.0,1467.0,1465.0,1470.0,1488.0,1508.0,1523.0,1535.0,1549.0,1559.0,1565.0,1572.0,1575.0,1588.0,1600.0,1617.0,1627.0,1637.0,1661.0,1666.0,1679.0,1688.0,1694.0,1700.0,1695.0,1700.0,1710.0,1709.0,1714.0,1726.0,1745.0,1761.0,1783.0,1793.0,1808.0,1804.0,1798.0,1788.0,1794.0,1801.0,1831.0,1861.0,1895.0,1922.0,1918.0,1908.0,1894.0,1878.0,1879.0,1884.0,1885.0,1896.0,1912.0,1934.0,1957.0,1963.0,1956.0,1951.0,1950.0,1944.0,1936.0,1938.0,1925.0,1920.0,1945.0,1964.0,1967.0,1969.0,1968.0,1953.0,1946.0,1933.0,1927.0,1925.0,1927.0,1932.0,1946.0,1962.0,1977.0,1981.0,1961.0,1951.0,1952.0,1951.0
99208,Spokane,WA,Spokane-Spokane Valley,Spokane County,399,1074.0,1077.0,1086.0,1091.0,,,,,,869.0,855.0,853.0,855.0,861.0,866.0,858.0,853.0,852.0,856.0,854.0,856.0,857.0,861.0,867.0,870.0,873.0,877.0,875.0,874.0,872.0,869.0,870.0,875.0,886.0,898.0,910.0,911.0,913.0,906.0,894.0,878.0,870.0,874.0,880.0,889.0,897.0,910.0,919.0,929.0,929.0,925.0,919.0,920.0,918.0,921.0,928.0,939.0,957.0,969.0,973.0,973.0,967.0,962.0,966.0,966.0,964.0,962.0,975.0,993.0,1009.0,1021.0,1028.0,1033.0,1035.0,1036.0,1040.0,1043.0,1042.0,1045.0,1053.0,1067.0,1082.0,1098.0,1102.0,1101.0,1098.0,1101.0,1108.0,1113.0,1116.0,1121.0,1130.0,1136.0,1144.0,1149.0,1150.0,1153.0,1161.0,1170.0,1175.0,1171.0,1167.0,1163.0,1162.0,1167.0,1174.0,1184.0,1189.0,1194.0,1215.0,1218.0,1208.0,1197.0
98632,Longview,WA,Longview,Cowlitz County,501,1000.0,1013.0,1016.0,1020.0,1012.0,,953.0,933.0,,,859.0,853.0,847.0,846.0,844.0,837.0,827.0,815.0,801.0,786.0,784.0,790.0,809.0,825.0,836.0,848.0,868.0,886.0,901.0,899.0,893.0,894.0,887.0,892.0,,,,1002.0,1006.0,991.0,976.0,969.0,955.0,950.0,952.0,948.0,942.0,934.0,937.0,917.0,911.0,907.0,898.0,889.0,872.0,877.0,,,946.0,938.0,952.0,954.0,,,1047.0,1059.0,1069.0,1070.0,1051.0,1061.0,1089.0,1087.0,1076.0,1075.0,1075.0,1088.0,1097.0,1120.0,1127.0,1124.0,1132.0,1146.0,1174.0,1183.0,1166.0,1157.0,1155.0,1157.0,1161.0,1167.0,1180.0,1190.0,1183.0,1167.0,1150.0,1136.0,1141.0,1160.0,1187.0,1209.0,1220.0,1223.0,1223.0,1222.0,1214.0,1209.0,1205.0,1199.0,1183.0,1170.0,1137.0,1147.0,1159.0
98208,Everett,WA,Seattle-Tacoma-Bellevue,Snohomish County,521,1333.0,1346.0,1350.0,1360.0,1358.0,1344.0,1327.0,1318.0,1306.0,1301.0,1293.0,1286.0,1288.0,1299.0,1307.0,1313.0,1320.0,1321.0,1322.0,1322.0,1320.0,1317.0,1323.0,1332.0,1345.0,1353.0,1357.0,1358.0,1358.0,1353.0,1353.0,1350.0,1351.0,1362.0,1384.0,1415.0,1439.0,1459.0,1468.0,1466.0,1455.0,1449.0,1457.0,1463.0,1466.0,1473.0,1488.0,1504.0,1520.0,1536.0,1545.0,1541.0,1558.0,1575.0,1590.0,1623.0,1654.0,1678.0,1700.0,1701.0,1707.0,1704.0,1684.0,1675.0,1672.0,1677.0,1691.0,1707.0,1729.0,1748.0,1754.0,1764.0,1771.0,1783.0,1786.0,1786.0,1778.0,1774.0,1775.0,1772.0,1772.0,1780.0,1794.0,1810.0,1807.0,1806.0,1806.0,1807.0,1806.0,1803.0,1802.0,1803.0,1810.0,1828.0,1846.0,1862.0,1871.0,1873.0,1872.0,1865.0,1853.0,1853.0,1863.0,1869.0,1876.0,1891.0,1908.0,1925.0,1933.0,1932.0,1904.0,1878.0,1871.0
